No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
2728,FGF,"FG Financial Group, Inc.",Financial,Insurance - Diversified,USA,26.62M,-,2.75,-6.14%,"24,095"
2729,FGI,FGI Industries Ltd.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,21.90M,5.87,2.30,0.00%,"4,508"
2730,FGM,First Trust Germany AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,39.33,-0.12%,96
2731,FGRO,Fidelity Growth Opportunities ETF,Financial,Exchange Traded Fund,USA,-,-,14.63,1.32%,"44,698"
2732,FHB,"First Hawaiian, Inc.",Financial,Banks - Regional,USA,3.47B,13.05,27.10,-0.91%,"253,377"
2733,FHI,"Federated Hermes, Inc.",Financial,Asset Management,USA,3.52B,15.52,40.35,-1.22%,"455,537"
2734,FHLC,Fidelity MSCI Health Care Index ETF,Financial,Exchange Traded Fund,USA,-,-,63.17,-0.39%,"99,420"
2735,FHLT,Future Health ESG Corp.,Financial,Shell Companies,USA,67.85M,-,10.28,0.00%,0
2736,FHN,First Horizon Corporation,Financial,Banks - Regional,USA,13.23B,16.62,24.70,-0.12%,"1,244,902"
2737,FHTX,Foghorn Therapeutics Inc.,Healthcare,Biotechnology,USA,256.51M,-,6.22,-8.93%,"112,268"
2738,FIAX,Tidal ETF Trust II Nicholas Fix,Financial,Exchange Traded Fund,USA,-,-,19.94,0.00%,"16,554"
2739,FIBK,"First Interstate BancSystem, Inc.",Financial,Banks - Regional,USA,3.80B,19.76,36.59,-1.21%,"456,351"
2740,FIBR,iShares U.S. Fixed Income Balanced Risk Factor ETF,Financial,Exchange Traded Fund,USA,-,-,84.19,-0.37%,"1,764"
2742,FICV,Frontier Investment Corp,Financial,Shell Companies,USA,253.40M,47.83,10.14,0.00%,193
2743,FID,First Trust S&P International Dividend Aristocrats Fund,Financial,Exchange Traded Fund,USA,-,-,16.11,-0.31%,"11,967"
2744,FIDI,Fidelity International High Dividend ETF,Financial,Exchange Traded Fund,USA,-,-,19.90,0.48%,"5,528"
2745,FIDU,Fidelity MSCI Industrials Index ETF,Financial,Exchange Traded Fund,USA,-,-,54.08,-0.17%,"43,417"
2746,FIF,First Trust Energy Infrastructure Fund,Financial,Closed-End Fund - Equity,USA,248.10M,3.92,15.28,-0.39%,"46,677"
2747,FIG,Simplify Macro Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,23.67,0.29%,659
2748,FIGS,"FIGS, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,1.60B,55.24,9.39,1.95%,"2,652,711"
2749,FILL,iShares MSCI Global Energy Producers ETF,Financial,Exchange Traded Fund,USA,-,-,25.04,0.68%,"5,787"
2750,FINV,FinVolution Group,Financial,Credit Services,China,1.65B,4.76,5.65,0.71%,"656,205"
2751,FINW,FinWise Bancorp,Financial,Banks - Regional,USA,116.32M,4.93,9.21,-2.64%,128
2752,FINX,Global X FinTech ETF,Financial,Exchange Traded Fund,USA,-,-,21.93,1.06%,"100,353"
2753,FIP,FTAI Infrastructure Inc.,Industrials,Conglomerates,USA,314.31M,-,3.23,-1.52%,"503,640"
2754,FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,USA,39.45B,44.26,67.81,2.74%,"11,410,210"
2755,FISI,"Financial Institutions, Inc.",Financial,Banks - Regional,USA,380.65M,7.02,25.01,-1.26%,"23,178"
2756,FISR,SPDR SSGA Fixed Income Sector Rotation ETF,Financial,Exchange Traded Fund,USA,-,-,25.98,-0.54%,"48,913"
2757,FISV,"Fiserv, Inc.",Technology,Information Technology Services,USA,74.22B,29.69,116.01,-0.38%,"2,772,241"
2758,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,25.48B,11.10,37.19,-0.69%,"3,042,223"
2759,FITE,SPDR S&P Kensho Future Security ETF,Financial,Exchange Traded Fund,USA,-,-,46.91,0.98%,"2,003"
2760,FIVA,Fidelity International Value Factor ETF,Financial,Exchange Traded Fund,USA,-,-,23.13,0.41%,"2,007"
2762,FIVG,Defiance 5G Next Gen Connectivity ETF,Financial,Exchange Traded Fund,USA,-,-,33.44,0.94%,"58,544"
2763,FIVN,"Five9, Inc.",Technology,Software - Infrastructure,USA,5.86B,-,79.25,1.36%,"1,507,262"
2764,FIW,First Trust Water ETF,Financial,Exchange Traded Fund,USA,-,-,85.69,0.22%,"25,978"
2765,FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,USA,4.33B,19.38,122.39,0.02%,"123,748"
2766,FIXD,First Trust TCW Opportunistic Fixed Income ETF,Financial,Exchange Traded Fund,USA,-,-,44.78,-0.38%,"974,126"
2767,FIXX,"Homology Medicines, Inc.",Healthcare,Biotechnology,USA,87.16M,-,1.47,2.08%,"57,814"
2768,FIZZ,National Beverage Corp.,Consumer Defensive,Beverages - Non-Alcoholic,USA,4.12B,30.70,44.91,-1.81%,"85,006"
2769,FJAN,FT Cboe Vest US Eq Buffer ETF - January,Financial,Exchange Traded Fund,USA,-,-,34.84,0.19%,"30,633"
2770,FJP,First Trust Japan AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,44.44,-0.68%,"2,604"
2771,FJUN,FT Cboe Vest US Eq Buffer ETF - June,Financial,Exchange Traded Fund,USA,-,-,38.32,0.22%,"10,808"
2772,FKU,First Trust United Kingdom AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,34.92,0.52%,"2,730"
2773,FKWL,Franklin Wireless Corp.,Technology,Communication Equipment,USA,62.58M,-,5.34,-1.02%,"4,934"
2774,FL,"Foot Locker, Inc.",Consumer Cyclical,Footwear & Accessories,USA,4.13B,10.11,44.45,-1.35%,"1,675,238"
2775,FLAU,Franklin FTSE Australia ETF,Financial,Exchange Traded Fund,USA,-,-,28.67,-0.04%,"9,719"
2776,FLAX,Franklin FTSE Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,21.90,-0.22%,24
2777,FLBR,Franklin FTSE Brazil ETF,Financial,Exchange Traded Fund,USA,-,-,17.45,-0.97%,"17,077"
2778,FLC,Flaherty & Crumrine Total Return Fund Inc.,Financial,Closed-End Fund - Debt,USA,183.22M,9.99,17.58,0.29%,"23,995"
2779,FLCA,Franklin FTSE Canada ETF,Financial,Exchange Traded Fund,USA,-,-,32.32,-0.05%,"21,663"
2780,FLCB,Franklin U.S. Core Bond ETF,Financial,Exchange Traded Fund,USA,-,-,21.48,-0.31%,"25,869"
2782,FLCO,Franklin Investment Grade Corporate ETF,Financial,Exchange Traded Fund,USA,-,-,21.37,-0.17%,"5,603"
2783,FLDR,Fidelity Low Duration Bond Factor ETF,Financial,Exchange Traded Fund,USA,-,-,49.89,-0.06%,"15,842"
2784,FLEE,Franklin FTSE Europe ETF,Financial,Exchange Traded Fund,USA,-,-,26.46,0.58%,"16,360"
2785,FLEX,Flex Ltd.,Technology,Electronic Components,Singapore,10.61B,13.99,24.68,0.94%,"2,865,824"
2786,FLGB,Franklin FTSE United Kingdom ETF,Financial,Exchange Traded Fund,USA,-,-,24.73,0.69%,"54,889"
2787,FLGC,Flora Growth Corp.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,52.96M,-,0.41,11.23%,"1,474,710"
2788,FLGR,Franklin FTSE Germany ETF,Financial,Exchange Traded Fund,USA,-,-,21.83,0.44%,598
2789,FLGT,"Fulgent Genetics, Inc.",Healthcare,Diagnostics & Research,USA,950.14M,3.80,33.06,-0.57%,"110,024"
2790,FLHK,Franklin FTSE Hong Kong ETF,Financial,Exchange Traded Fund,USA,-,-,22.22,0.27%,300
2791,FLHY,Franklin High Yield Corporate ETF,Financial,Exchange Traded Fund,USA,-,-,22.61,0.22%,"6,789"
2792,FLIA,Franklin International Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,19.57,-0.03%,"71,677"
2793,FLIC,The First of Long Island Corporation,Financial,Banks - Regional,USA,384.90M,8.45,17.26,-1.76%,"45,304"
2794,FLIN,Franklin FTSE India ETF,Financial,Exchange Traded Fund,USA,-,-,28.08,-0.01%,"1,295,061"
2795,FLIY,Franklin FTSE Italy ETF,Financial,Exchange Traded Fund,USA,-,-,25.50,0.77%,406
2796,FLJP,Franklin FTSE Japan ETF,Financial,Exchange Traded Fund,USA,-,-,25.42,-0.47%,"69,835"
2797,FLKR,Franklin FTSE South Korea ETF,Financial,Exchange Traded Fund,USA,-,-,21.71,0.26%,"44,532"
2798,FLL,"Full House Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,USA,325.45M,-,9.32,-2.20%,"98,999"
2799,FLLV,Franklin U.S. Low Volatility ETF,Financial,Exchange Traded Fund,USA,-,-,47.57,-0.41%,"5,647"
2800,FLMB,Franklin Municipal Green Bond ETF,Financial,Exchange Traded Fund,USA,-,-,23.90,-0.21%,"41,918"
2802,FLMX,Franklin FTSE Mexico ETF,Financial,Exchange Traded Fund,USA,-,-,28.07,-0.15%,"4,006"
2803,FLN,First Trust Latin America AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,17.83,0.14%,"4,919"
2804,FLNC,"Fluence Energy, Inc.",Utilities,Utilities - Renewable,USA,4.29B,-,22.22,1.79%,"1,786,453"
2805,FLNG,FLEX LNG Ltd.,Energy,Oil & Gas Midstream,Bermuda,1.88B,8.50,34.94,5.50%,"1,464,866"
